AREA_CODE,AREA_NAME,COMPONENT,SEX,AGE_GROUP,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
E09000022,Lambeth,Internal migration in,males,45,133.986,139.935,144.221,142.896,141.436,138.294,137.832,140.552,141.393,141.438,145.464,147.676,150.309,152.241,152.615,151.512,156.016,156.505,158.777,162.113,161.39,163.34,161.912,160.981,162.862
E09000022,Lambeth,Internal migration in,males,46,124.576,127.491,132.624,135.722,134.212,132.806,130.066,129.748,132.377,133.132,133.23,136.998,139.008,141.441,143.257,143.604,142.559,146.722,147.156,149.258,152.395,151.73,153.547,152.194,151.314
E09000022,Lambeth,Internal migration in,males,47,119.311,117.058,119.385,123.517,126.2,124.845,123.635,121.341,121.119,123.631,124.327,124.471,127.996,129.811,132.058,133.71,134.033,133.045,136.874,137.225,139.146,142.081,141.485,143.168,141.886
E09000022,Lambeth,Internal migration in,males,48,115.596,114.735,112.361,113.742,117.534,120.133,118.949,117.863,115.809,115.564,117.957,118.602,118.788,122.101,123.781,125.899,127.475,127.787,126.826,130.442,130.76,132.564,135.362,134.813,136.413
E09000022,Lambeth,Internal migration in,males,49,104.096,106.147,105.031,102.351,103.511,107.126,109.597,108.557,107.615,105.833,105.65,107.943,108.516,108.77,111.778,113.245,115.165,116.569,116.857,115.981,119.213,119.471,121.081,123.642,123.157
E09000022,Lambeth,Internal migration in,males,50,101.974,99.572,101.16,99.84,97.026,98.308,101.696,103.87,103.062,102.244,100.595,100.368,102.449,102.983,103.155,106.093,107.467,109.327,110.563,110.898,110.102,113.217,113.465,115.055,117.468
E09000022,Lambeth,Internal migration in,males,51,96.781,96.644,94.109,95.099,93.687,91.139,92.363,95.645,97.769,96.982,96.204,94.689,94.502,96.499,96.989,97.187,99.952,101.219,102.959,104.124,104.44,103.694,106.595,106.819,108.303
E09000022,Lambeth,Internal migration in,males,52,90.661,90.63,90.122,87.521,88.283,86.993,84.792,85.961,89.141,91.142,90.411,89.673,88.347,88.159,90.049,90.49,90.725,93.283,94.42,96.03,97.111,97.402,96.698,99.368,99.559
E09000022,Lambeth,Internal migration in,males,53,86.851,86.091,85.853,84.959,82.46,83.103,81.956,79.987,81.089,84.12,86.081,85.378,84.671,83.452,83.275,85.085,85.498,85.759,88.17,89.214,90.721,91.748,92.026,91.351,93.852
E09000022,Lambeth,Internal migration in,males,54,84.555,83.166,82.431,81.717,80.69,78.402,78.981,77.884,76.09,77.173,80.119,81.976,81.305,80.643,79.533,79.385,81.152,81.542,81.812,84.101,85.085,86.512,87.473,87.742,87.108
E09000022,Lambeth,Internal migration in,males,55,74.664,75.466,74.204,73.253,72.626,71.655,69.686,70.363,69.468,67.868,68.769,71.484,73.193,72.573,71.977,70.971,70.851,72.434,72.757,73.014,74.983,75.889,77.117,78.027,78.249
E09000022,Lambeth,Internal migration in,males,56,73.797,72.622,73.209,71.756,70.884,70.181,69.25,67.387,68.033,67.159,65.656,66.535,69.191,70.853,70.257,69.665,68.735,68.628,70.182,70.486,70.754,72.669,73.532,74.719,75.602
E09000022,Lambeth,Internal migration in,males,57,69.902,70.772,69.635,69.947,68.539,67.763,67.235,66.251,64.568,65.206,64.363,63.046,63.817,66.38,67.991,67.406,66.824,65.958,65.835,67.329,67.596,67.879,69.692,70.508,71.636
E09000022,Lambeth,Internal migration in,males,58,65.066,65.779,66.424,65.19,65.442,64.129,63.501,62.953,62.051,60.442,61.023,60.241,58.984,59.761,62.178,63.715,63.156,62.648,61.845,61.742,63.177,63.44,63.716,65.434,66.186
E09000022,Lambeth,Internal migration in,males,59,63.109,63.713,64.221,64.68,63.444,63.665,62.389,61.854,61.291,60.386,58.855,59.373,58.619,57.401,58.187,60.577,62.078,61.548,61.057,60.29,60.203,61.619,61.888,62.165,63.85
E09000022,Lambeth,Internal migration in,males,60,54.603,56.366,56.71,57.301,57.721,56.404,56.714,55.552,54.994,54.529,53.804,52.412,52.824,52.152,51.057,51.724,53.732,55.054,54.543,54.074,53.393,53.262,54.503,54.774,54.967
E09000022,Lambeth,Internal migration in,males,61,50.562,52.024,53.546,53.836,54.264,54.689,53.405,53.675,52.606,52.095,51.576,50.918,49.588,49.962,49.367,48.283,48.953,50.889,52.135,51.669,51.251,50.611,50.504,51.683,51.966
E09000022,Lambeth,Internal migration in,males,62,47.122,48.024,49.33,50.735,50.953,51.336,51.757,50.654,50.898,49.888,49.45,48.964,48.288,47.101,47.459,46.851,45.914,46.524,48.377,49.566,49.126,48.71,48.13,48.029,49.165
E09000022,Lambeth,Internal migration in,males,63,41.304,42.708,43.445,44.506,45.8,45.967,46.314,46.664,45.741,45.949,45.04,44.69,44.244,43.594,42.523,42.861,42.316,41.485,42.051,43.747,44.86,44.459,44.087,43.583,43.498
E09000022,Lambeth,Internal migration in,males,64,38.197,40.408,41.799,42.404,43.454,44.685,44.86,45.28,45.562,44.665,44.863,43.983,43.704,43.277,42.596,41.575,41.905,41.344,40.58,41.135,42.82,43.91,43.514,43.154,42.661
E09000022,Lambeth,Internal migration in,males,65,27.478,28.591,30.204,31.093,31.502,32.308,33.29,33.345,33.707,33.876,33.238,33.378,32.82,32.418,32.176,31.782,30.901,31.232,30.873,30.172,30.577,31.773,32.603,32.283,32.068
E09000022,Lambeth,Internal migration in,males,66,24.191,25.278,26.198,27.556,28.365,28.759,29.521,30.382,30.484,30.764,30.897,30.35,30.435,29.922,29.666,29.428,28.974,28.246,28.526,28.188,27.605,27.982,29.108,29.873,29.58
E09000022,Lambeth,Internal migration in,males,67,21.51,22.245,23.231,24.046,25.302,25.998,26.424,27.138,27.938,28.042,28.295,28.448,27.912,28.025,27.583,27.327,27.098,26.724,26.019,26.262,25.943,25.427,25.757,26.791,27.513
